insight_id,filter,filter_value,insight_key,feature,feature_display,metric,metric_display,direction,effect_size,effect_size_cohen_d,evidence_uplift_pp,evidence_n_has,evidence_n_abs,evidence_baseline_pp,evidence_sig,evidence_p_value,quality_flags,confidence,text
67256b89,Global,Global,Feature,color_spectrum,Color Spectrum,SCD_score,SCD Score,positive,medium,0.36,8.92,3973,435,41.88,***,0.0,multiple_testing_risk,high,Color Spectrum is associated with 8.9pp higher SCD Score (n=3973 with feature; ***).
45c4fb17,Global,Global,Feature,tone,Tone,Attention_T2B,Attention,positive,small,0.187,2.94,1568,3123,58.48,***,0.0,multiple_testing_risk,high,Tone is associated with 2.9pp higher Attention (n=1568 with feature; ***).
ffd65dfa,Global,Global,Feature,tone,Tone,Persuasion_T2B,Persuasion,positive,small,0.109,1.86,1568,3123,54.39,***,0.00044,multiple_testing_risk,high,Tone is associated with 1.9pp higher Persuasion (n=1568 with feature; ***).
a2bace69,Global,Global,Feature,tone,Tone,Likeability_Love_Like_T2B,Likeability,positive,small,0.191,3.3,1568,3123,55.23,***,0.0,multiple_testing_risk,high,Tone is associated with 3.3pp higher Likeability (n=1568 with feature; ***).
283f00e4,Global,Global,Feature,tone,Tone,SCD_score,SCD Score,positive,small,0.015,0.38,1458,2950,49.79,ns,0.65057,multiple_testing_risk,low,Tone is associated with 0.4pp higher SCD Score (n=1458 with feature; ns).
7347e06e,Global,Global,Feature,products,Products,Attention_T2B,Attention,positive,small,0.026,0.42,1691,3000,59.31,ns,0.06891,multiple_testing_risk,low,Products is associated with 0.4pp higher Attention (n=1691 with feature; ns).
9aedfcb4,Global,Global,Feature,products,Products,Persuasion_T2B,Persuasion,positive,small,0.113,1.95,1691,3000,54.31,***,6e-05,multiple_testing_risk,high,Products is associated with 2.0pp higher Persuasion (n=1691 with feature; ***).
a91fc58e,Global,Global,Feature,products,Products,Likeability_Love_Like_T2B,Likeability,positive,small,0.092,1.63,1691,3000,55.75,**,0.00104,multiple_testing_risk,high,Products is associated with 1.6pp higher Likeability (n=1691 with feature; **).
af98213c,Global,Global,Feature,products,Products,SCD_score,SCD Score,positive,small,0.127,3.19,1616,2792,48.75,***,5e-05,multiple_testing_risk,high,Products is associated with 3.2pp higher SCD Score (n=1616 with feature; ***).
65ec9403,Global,Global,Feature,occasions,Occasions,Attention_T2B,Attention,positive,small,0.145,2.23,775,3916,59.09,***,0.00078,multiple_testing_risk,high,Occasions is associated with 2.2pp higher Attention (n=775 with feature; ***).
3b14c124,Global,Global,Feature,occasions,Occasions,Persuasion_T2B,Persuasion,negative,small,-0.003,-0.05,775,3916,55.02,ns,0.8368,multiple_testing_risk,low,Occasions is associated with 0.1pp lower Persuasion (n=775 with feature; ns).
bfd82f06,Global,Global,Feature,occasions,Occasions,Likeability_Love_Like_T2B,Likeability,positive,medium,0.206,3.47,775,3916,55.76,***,0.0,multiple_testing_risk,high,Occasions is associated with 3.5pp higher Likeability (n=775 with feature; ***).
e79ef7b1,Global,Global,Feature,occasions,Occasions,SCD_score,SCD Score,positive,medium,0.437,10.84,746,3662,48.08,***,0.0,multiple_testing_risk,high,Occasions is associated with 10.8pp higher SCD Score (n=746 with feature; ***).
8e8b6c08,Global,Global,Feature,passion_point,Passion Point,Attention_T2B,Attention,positive,small,0.189,3.02,1364,3327,58.58,***,0.0,multiple_testing_risk,high,Passion Point is associated with 3.0pp higher Attention (n=1364 with feature; ***).
7ce8b283,Global,Global,Feature,passion_point,Passion Point,Persuasion_T2B,Persuasion,positive,small,0.158,2.72,1364,3327,54.22,***,0.0,multiple_testing_risk,high,Passion Point is associated with 2.7pp higher Persuasion (n=1364 with feature; ***).
cb626a48,Global,Global,Feature,passion_point,Passion Point,Likeability_Love_Like_T2B,Likeability,positive,small,0.193,3.4,1364,3327,55.35,***,0.0,multiple_testing_risk,high,Passion Point is associated with 3.4pp higher Likeability (n=1364 with feature; ***).
6f6c7647,Global,Global,Feature,passion_point,Passion Point,SCD_score,SCD Score,positive,small,0.091,2.27,1309,3099,49.24,**,0.00826,multiple_testing_risk,high,Passion Point is associated with 2.3pp higher SCD Score (n=1309 with feature; **).
3a37279a,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Attention_T2B,Attention,positive,small,0.134,2.11,1188,3503,58.93,***,5e-05,multiple_testing_risk,high,Intrinsic Elements is associated with 2.1pp higher Attention (n=1188 with feature; ***).
0a82a67b,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Persuasion_T2B,Persuasion,positive,small,0.187,3.16,1188,3503,54.21,***,0.0,multiple_testing_risk,high,Intrinsic Elements is associated with 3.2pp higher Persuasion (n=1188 with feature; ***).
19f73c39,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Likeability_Love_Like_T2B,Likeability,positive,small,0.181,3.13,1188,3503,55.54,***,0.0,multiple_testing_risk,high,Intrinsic Elements is associated with 3.1pp higher Likeability (n=1188 with feature; ***).
e88fe69b,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,SCD_score,SCD Score,positive,small,0.093,2.32,1132,3276,49.32,**,0.00784,multiple_testing_risk,high,Intrinsic Elements is associated with 2.3pp higher SCD Score (n=1132 with feature; **).
93c7ea8a,Global,Global,Feature,food,Food,Attention_T2B,Attention,positive,small,0.113,1.82,997,3694,59.07,***,6e-05,multiple_testing_risk,high,Food is associated with 1.8pp higher Attention (n=997 with feature; ***).
d8bd321c,Global,Global,Feature,food,Food,Persuasion_T2B,Persuasion,positive,small,0.172,2.96,997,3694,54.38,***,0.0,multiple_testing_risk,high,Food is associated with 3.0pp higher Persuasion (n=997 with feature; ***).
f145a194,Global,Global,Feature,food,Food,Likeability_Love_Like_T2B,Likeability,positive,small,0.167,2.97,997,3694,55.71,***,0.0,multiple_testing_risk,high,Food is associated with 3.0pp higher Likeability (n=997 with feature; ***).
eb2e59c1,Global,Global,Feature,food,Food,SCD_score,SCD Score,positive,small,0.191,4.76,956,3452,48.89,***,0.0,multiple_testing_risk,high,Food is associated with 4.8pp higher SCD Score (n=956 with feature; ***).
68725cbe,Global,Global,Feature,seasonal,Seasonal,Attention_T2B,Attention,positive,small,0.138,2.11,371,4320,59.29,*,0.01981,multiple_testing_risk,medium,Seasonal is associated with 2.1pp higher Attention (n=371 with feature; *).
026be0c6,Global,Global,Feature,seasonal,Seasonal,Persuasion_T2B,Persuasion,negative,small,-0.047,-0.79,371,4320,55.07,ns,0.36204,multiple_testing_risk,low,Seasonal is associated with 0.8pp lower Persuasion (n=371 with feature; ns).
b5a78c44,Global,Global,Feature,seasonal,Seasonal,Likeability_Love_Like_T2B,Likeability,positive,small,0.167,2.81,371,4320,56.11,**,0.00635,multiple_testing_risk,high,Seasonal is associated with 2.8pp higher Likeability (n=371 with feature; **).
c9c5e283,Global,Global,Feature,seasonal,Seasonal,SCD_score,SCD Score,positive,medium,0.339,8.6,353,4055,49.23,***,0.0,multiple_testing_risk,high,Seasonal is associated with 8.6pp higher SCD Score (n=353 with feature; ***).
e47ffe48,Global,Global,Feature,additional_elements_and_product_placement,Additional Elements,Attention_T2B,Attention,positive,small,0.007,0.12,410,4281,59.45,ns,0.91581,multiple_testing_risk,low,Additional Elements is associated with 0.1pp higher Attention (n=410 with feature; ns).
612ee342,Global,Global,Feature,additional_elements_and_product_placement,Additional Elements,Persuasion_T2B,Persuasion,negative,small,-0.043,-0.75,410,4281,55.08,ns,0.43389,multiple_testing_risk,low,Additional Elements is associated with 0.8pp lower Persuasion (n=410 with feature; ns).
72e9cec4,Global,Global,Feature,additional_elements_and_product_placement,Additional Elements,Likeability_Love_Like_T2B,Likeability,negative,small,-0.027,-0.46,410,4281,56.38,ns,0.49054,multiple_testing_risk,low,Additional Elements is associated with 0.5pp lower Likeability (n=410 with feature; ns).
3764f017,Global,Global,Feature,additional_elements_and_product_placement,Additional Elements,SCD_score,SCD Score,negative,small,-0.069,-1.72,390,4018,50.07,ns,0.17308,multiple_testing_risk,low,Additional Elements is associated with 1.7pp lower SCD Score (n=390 with feature; ns).
b3c1f296,Global,Global,Feature,emotions,Emotions,Attention_T2B,Attention,positive,small,0.161,2.57,186,4505,59.36,*,0.02542,multiple_testing_risk,medium,Emotions is associated with 2.6pp higher Attention (n=186 with feature; *).
19537463,Global,Global,Feature,emotions,Emotions,Persuasion_T2B,Persuasion,positive,small,0.188,3.22,186,4505,54.88,*,0.01276,multiple_testing_risk,medium,Emotions is associated with 3.2pp higher Persuasion (n=186 with feature; *).
36c50ac3,Global,Global,Feature,emotions,Emotions,Likeability_Love_Like_T2B,Likeability,positive,medium,0.208,3.61,186,4505,56.19,**,0.00604,multiple_testing_risk,high,Emotions is associated with 3.6pp higher Likeability (n=186 with feature; **).
726ae1cc,Global,Global,Feature,emotions,Emotions,SCD_score,SCD Score,positive,small,0.077,1.9,176,4232,49.84,ns,0.33709,multiple_testing_risk,low,Emotions is associated with 1.9pp higher SCD Score (n=176 with feature; ns).
bb1db3f5,Global,Global,Feature,music_style,Music Style,Attention_T2B,Attention,positive,medium,0.251,3.76,157,4534,59.34,**,0.0029,multiple_testing_risk,high,Music Style is associated with 3.8pp higher Attention (n=157 with feature; **).
ed6653a3,Global,Global,Feature,music_style,Music Style,Persuasion_T2B,Persuasion,positive,small,0.072,1.19,157,4534,54.97,ns,0.38139,multiple_testing_risk,low,Music Style is associated with 1.2pp higher Persuasion (n=157 with feature; ns).
8d58efb8,Global,Global,Feature,music_style,Music Style,Likeability_Love_Like_T2B,Likeability,positive,medium,0.24,3.99,157,4534,56.2,**,0.00474,multiple_testing_risk,high,Music Style is associated with 4.0pp higher Likeability (n=157 with feature; **).
c7cc9e9a,Global,Global,Feature,music_style,Music Style,SCD_score,SCD Score,positive,small,0.157,3.91,151,4257,49.78,ns,0.07079,multiple_testing_risk,low,Music Style is associated with 3.9pp higher SCD Score (n=151 with feature; ns).
051dd38e,Global,Global,Feature,moments,Moments,Attention_T2B,Attention,negative,small,-0.027,-0.43,131,4560,59.47,ns,0.81548,multiple_testing_risk,low,Moments is associated with 0.4pp lower Attention (n=131 with feature; ns).
b3911df3,Global,Global,Feature,moments,Moments,Persuasion_T2B,Persuasion,negative,small,-0.064,-1.1,131,4560,55.04,ns,0.54286,multiple_testing_risk,low,Moments is associated with 1.1pp lower Persuasion (n=131 with feature; ns).
203f4ff5,Global,Global,Feature,moments,Moments,Likeability_Love_Like_T2B,Likeability,negative,small,-0.056,-0.98,131,4560,56.36,ns,0.51537,multiple_testing_risk,low,Moments is associated with 1.0pp lower Likeability (n=131 with feature; ns).
6aee2ce1,Global,Global,Feature,moments,Moments,SCD_score,SCD Score,positive,small,0.087,2.19,122,4286,49.86,ns,0.37718,multiple_testing_risk,low,Moments is associated with 2.2pp higher SCD Score (n=122 with feature; ns).
f5f847b9,Global,Global,Feature,call_to_action,Call To Action,Attention_T2B,Attention,positive,small,0.055,0.94,106,4585,59.44,ns,0.23942,multiple_testing_risk,low,Call To Action is associated with 0.9pp higher Attention (n=106 with feature; ns).
44865481,Global,Global,Feature,call_to_action,Call To Action,Persuasion_T2B,Persuasion,positive,small,0.017,0.31,106,4585,55.0,ns,0.66905,multiple_testing_risk,low,Call To Action is associated with 0.3pp higher Persuasion (n=106 with feature; ns).
3e3bf553,Global,Global,Feature,call_to_action,Call To Action,Likeability_Love_Like_T2B,Likeability,negative,small,-0.029,-0.53,106,4585,56.35,ns,0.97786,multiple_testing_risk,low,Call To Action is associated with 0.5pp lower Likeability (n=106 with feature; ns).
844cf989,Global,Global,Feature,call_to_action,Call To Action,SCD_score,SCD Score,negative,small,-0.128,-3.11,98,4310,49.99,ns,0.2354,multiple_testing_risk,low,Call To Action is associated with 3.1pp lower SCD Score (n=98 with feature; ns).
a01228cd,Global,Global,Feature,graphic_design_style,Graphic Design Style,Attention_T2B,Attention,positive,small,0.086,1.29,62,4629,59.44,ns,0.6582,multiple_testing_risk,low,Graphic Design Style is associated with 1.3pp higher Attention (n=62 with feature; ns).
41adf2cb,Global,Global,Feature,graphic_design_style,Graphic Design Style,Persuasion_T2B,Persuasion,positive,small,0.001,0.02,62,4629,55.01,ns,0.96698,multiple_testing_risk,low,Graphic Design Style is associated with 0.0pp higher Persuasion (n=62 with feature; ns).
6d2e1358,Global,Global,Feature,graphic_design_style,Graphic Design Style,Likeability_Love_Like_T2B,Likeability,positive,small,0.084,1.47,62,4629,56.32,ns,0.49614,multiple_testing_risk,low,Graphic Design Style is associated with 1.5pp higher Likeability (n=62 with feature; ns).
37651345,Global,Global,Feature,graphic_design_style,Graphic Design Style,SCD_score,SCD Score,negative,medium,-0.343,-8.3,59,4349,50.03,*,0.01318,multiple_testing_risk,medium,Graphic Design Style is associated with 8.3pp lower SCD Score (n=59 with feature; *).
17772f50,Global,Global,Feature,aesthetics,Aesthetics,Attention_T2B,Attention,positive,small,0.118,1.67,12,4679,59.46,ns,0.81265,"small_sample, multiple_testing_risk",low,Aesthetics is associated with 1.7pp higher Attention (n=12 with feature; ns). Small sample — treat as directional.
110c06b2,Global,Global,Feature,aesthetics,Aesthetics,Persuasion_T2B,Persuasion,negative,small,-0.117,-1.94,12,4679,55.01,ns,0.69273,"small_sample, multiple_testing_risk",low,Aesthetics is associated with 1.9pp lower Persuasion (n=12 with feature; ns). Small sample — treat as directional.
02918083,Global,Global,Feature,aesthetics,Aesthetics,Likeability_Love_Like_T2B,Likeability,positive,small,0.058,0.87,12,4679,56.33,ns,0.90656,"small_sample, multiple_testing_risk",low,Aesthetics is associated with 0.9pp higher Likeability (n=12 with feature; ns). Small sample — treat as directional.
c639ef4a,Global,Global,Feature,aesthetics,Aesthetics,SCD_score,SCD Score,negative,small,-0.096,-2.19,11,4397,49.92,ns,0.76701,"small_sample, multiple_testing_risk",low,Aesthetics is associated with 2.2pp lower SCD Score (n=11 with feature; ns). Small sample — treat as directional.
a238fe7c,Global,Global,Feature,fashion_style,Fashion Style,Attention_T2B,Attention,negative,medium,-0.23,-4.62,16,4675,59.48,ns,0.5746,"small_sample, multiple_testing_risk",low,Fashion Style is associated with 4.6pp lower Attention (n=16 with feature; ns). Small sample — treat as directional.
5603fcfa,Global,Global,Feature,fashion_style,Fashion Style,Persuasion_T2B,Persuasion,negative,small,-0.017,-0.33,16,4675,55.01,ns,0.93655,"small_sample, multiple_testing_risk",low,Fashion Style is associated with 0.3pp lower Persuasion (n=16 with feature; ns). Small sample — treat as directional.
e476b9a6,Global,Global,Feature,fashion_style,Fashion Style,Likeability_Love_Like_T2B,Likeability,negative,medium,-0.216,-4.75,16,4675,56.35,ns,0.45365,"small_sample, multiple_testing_risk",low,Fashion Style is associated with 4.8pp lower Likeability (n=16 with feature; ns). Small sample — treat as directional.
de2a024c,Global,Global,Feature,fashion_style,Fashion Style,SCD_score,SCD Score,positive,medium,0.404,10.0,16,4392,49.88,ns,0.09332,"small_sample, multiple_testing_risk",low,Fashion Style is associated with 10.0pp higher SCD Score (n=16 with feature; ns). Small sample — treat as directional.
66e0db5c,OU,LATAM,Feature,human_presence,Human,Attention_T2B,Attention,negative,small,-0.013,-0.13,951,543,64.67,ns,0.89866,multiple_testing_risk,low,Human is associated with 0.1pp lower Attention in OU = LATAM (n=951 with feature; ns).
268cd44d,OU,LATAM,Feature,human_presence,Human,Persuasion_T2B,Persuasion,negative,small,-0.031,-0.28,951,543,62.23,ns,0.59124,multiple_testing_risk,low,Human is associated with 0.3pp lower Persuasion in OU = LATAM (n=951 with feature; ns).
3b5dd116,OU,LATAM,Feature,human_presence,Human,Likeability_Love_Like_T2B,Likeability,positive,small,0.068,0.78,951,543,63.18,ns,0.14573,multiple_testing_risk,low,Human is associated with 0.8pp higher Likeability in OU = LATAM (n=951 with feature; ns).
f2fdc3c3,OU,LATAM,Feature,human_presence,Human,SCD_score,SCD Score,negative,small,-0.053,-1.35,923,520,50.72,ns,0.30376,multiple_testing_risk,low,Human is associated with 1.4pp lower SCD Score in OU = LATAM (n=923 with feature; ns).
dadd67a5,OU,LATAM,Feature,food_presence,Food,Attention_T2B,Attention,positive,small,0.039,0.39,328,1166,64.5,ns,0.26093,multiple_testing_risk,low,Food is associated with 0.4pp higher Attention in OU = LATAM (n=328 with feature; ns).
2acc88e9,OU,LATAM,Feature,food_presence,Food,Persuasion_T2B,Persuasion,positive,small,0.161,1.46,328,1166,61.73,**,0.00284,multiple_testing_risk,high,Food is associated with 1.5pp higher Persuasion in OU = LATAM (n=328 with feature; **).
8358e13e,OU,LATAM,Feature,food_presence,Food,Likeability_Love_Like_T2B,Likeability,positive,small,0.138,1.58,328,1166,63.33,*,0.02514,multiple_testing_risk,medium,Food is associated with 1.6pp higher Likeability in OU = LATAM (n=328 with feature; *).
fb488782,OU,LATAM,Feature,food_presence,Food,SCD_score,SCD Score,positive,small,0.134,3.4,322,1121,49.09,*,0.03093,multiple_testing_risk,medium,Food is associated with 3.4pp higher SCD Score in OU = LATAM (n=322 with feature; *).
48953720,OU,LATAM,Feature,product_presence,Product,Attention_T2B,Attention,positive,small,0.04,0.39,792,702,64.38,ns,0.35531,multiple_testing_risk,low,Product is associated with 0.4pp higher Attention in OU = LATAM (n=792 with feature; ns).
e2b2de08,OU,LATAM,Feature,product_presence,Product,Persuasion_T2B,Persuasion,positive,small,0.101,0.91,792,702,61.56,*,0.04536,multiple_testing_risk,medium,Product is associated with 0.9pp higher Persuasion in OU = LATAM (n=792 with feature; *).
6e6a4259,OU,LATAM,Feature,product_presence,Product,Likeability_Love_Like_T2B,Likeability,positive,small,0.043,0.49,792,702,63.42,ns,0.57467,multiple_testing_risk,low,Product is associated with 0.5pp higher Likeability in OU = LATAM (n=792 with feature; ns).
3c522a5b,OU,LATAM,Feature,product_presence,Product,SCD_score,SCD Score,positive,small,0.136,3.42,769,674,48.03,*,0.01012,multiple_testing_risk,medium,Product is associated with 3.4pp higher SCD Score in OU = LATAM (n=769 with feature; *).
0e7ef015,OU,LATAM,Feature,animatics_cartoons_presence,Animatics Cartoons,Attention_T2B,Attention,positive,medium,0.232,2.68,24,1470,64.54,ns,0.21115,"small_sample, multiple_testing_risk",low,Animatics Cartoons is associated with 2.7pp higher Attention in OU = LATAM (n=24 with feature; ns). Small sample — treat as directional.
7f5e5af0,OU,LATAM,Feature,animatics_cartoons_presence,Animatics Cartoons,Persuasion_T2B,Persuasion,positive,small,0.093,1.11,24,1470,62.03,ns,0.50458,"small_sample, multiple_testing_risk",low,Animatics Cartoons is associated with 1.1pp higher Persuasion in OU = LATAM (n=24 with feature; ns). Small sample — treat as directional.
d0d0ab42,OU,LATAM,Feature,animatics_cartoons_presence,Animatics Cartoons,Likeability_Love_Like_T2B,Likeability,positive,medium,0.413,5.86,24,1470,63.58,*,0.02705,"small_sample, multiple_testing_risk",medium,Animatics Cartoons is associated with 5.9pp higher Likeability in OU = LATAM (n=24 with feature; *). Small sample — treat as directional.
f369f9a2,OU,LATAM,Feature,animatics_cartoons_presence,Animatics Cartoons,SCD_score,SCD Score,positive,small,0.142,4.38,22,1421,49.79,ns,0.4242,"small_sample, multiple_testing_risk",low,Animatics Cartoons is associated with 4.4pp higher SCD Score in OU = LATAM (n=22 with feature; ns). Small sample — treat as directional.
fd349775,OU,LATAM,Feature,animals_and_pets_presence,Animals And Pets,Attention_T2B,Attention,positive,small,0.151,1.52,95,1399,64.49,ns,0.074,multiple_testing_risk,low,Animals And Pets is associated with 1.5pp higher Attention in OU = LATAM (n=95 with feature; ns).
087bfcb7,OU,LATAM,Feature,animals_and_pets_presence,Animals And Pets,Persuasion_T2B,Persuasion,negative,small,-0.077,-0.69,95,1399,62.09,ns,0.53653,multiple_testing_risk,low,Animals And Pets is associated with 0.7pp lower Persuasion in OU = LATAM (n=95 with feature; ns).
3d1173d0,OU,LATAM,Feature,animals_and_pets_presence,Animals And Pets,Likeability_Love_Like_T2B,Likeability,positive,medium,0.247,2.74,95,1399,63.5,*,0.02292,multiple_testing_risk,medium,Animals And Pets is associated with 2.7pp higher Likeability in OU = LATAM (n=95 with feature; *).
